layer                                    name                type  gradient  parameters               shape        mu     sigma
  162        model.19.m.0.m.0.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00173    0.0262        float32
  163          model.19.m.0.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]     0.737      0.13        float32
  163            model.19.m.0.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.703     0.397        float32
  164        model.19.m.0.m.1.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]   -0.0016    0.0273        float32
  165          model.19.m.0.m.1.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.921     0.199        float32
  165            model.19.m.0.m.1.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.787     0.608        float32
  166        model.19.m.0.m.1.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00147    0.0273        float32
  167          model.19.m.0.m.1.cv2.bn.weight         BatchNorm2d     False         128               [128]       1.8     0.454        float32
  167            model.19.m.0.m.1.cv2.bn.bias         BatchNorm2d     False         128               [128]   -0.0176     0.535        float32
  168                    model.20.conv.weight              Conv2d     False  2.3593e+06    [512, 512, 3, 3] -0.000272    0.0101        float32
  169                      model.20.bn.weight         BatchNorm2d     False         512               [512]      1.14     0.164        float32
  169                        model.20.bn.bias         BatchNorm2d     False         512               [512]    -0.271      0.15        float32
  170                                model.21              Concat     False           0                  []         -         -              -
  171                model.22.cv1.conv.weight              Conv2d     False      524288   [512, 1024, 1, 1] -0.000621    0.0217        float32
  172                  model.22.cv1.bn.weight         BatchNorm2d     False         512               [512]         1     0.323        float32
  172                    model.22.cv1.bn.bias         BatchNorm2d     False         512               [512]    -0.279     0.315        float32
  173                model.22.cv2.conv.weight              Conv2d     False      393216    [512, 768, 1, 1] -0.000706    0.0241        float32
  174                  model.22.cv2.bn.weight         BatchNorm2d     False         512               [512]      1.09     0.414        float32
  174                    model.22.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.355     0.274        float32
  175          model.22.m.0.0.cv1.conv.weight              Conv2d     False      294912    [128, 256, 3, 3] -0.000983    0.0193        float32
  176            model.22.m.0.0.cv1.bn.weight         BatchNorm2d     False         128               [128]      1.17      0.17        float32
  176              model.22.m.0.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.494      0.51        float32
  177          model.22.m.0.0.cv2.conv.weight              Conv2d     False      294912    [256, 128, 3, 3]  -0.00161    0.0242        float32
  178            model.22.m.0.0.cv2.bn.weight         BatchNorm2d     False         256               [256]      1.23     0.294        float32
  178              model.22.m.0.0.cv2.bn.bias         BatchNorm2d     False         256               [256]      -0.2     0.357        float32
  179     model.22.m.0.1.attn.qkv.conv.weight              Conv2d     False      131072    [512, 256, 1, 1]  3.12e-05    0.0332        float32
  180       model.22.m.0.1.attn.qkv.bn.weight         BatchNorm2d     False         512               [512]      1.15     0.253        float32
  180         model.22.m.0.1.attn.qkv.bn.bias         BatchNorm2d     False         512               [512]  -0.00253     0.211        float32
  181             model.22.m.0.1.attn.qkv.act            Identity     False           0                  []         -         -              -
